birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub1 	 pacbio
birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub2 	 10x
birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub2 	 hic-dovetail
birds 	 Erithacus_rubecula 	 genomic_data 	 bEriRub2 	 pacbio
birds 	 Fringilla_coelebs 	 genomic_data 	 bFriCoe1 	 hic-arima2
birds 	 Phaethon_aethereus 	 genomic_data 	 bPhaAeh1 	 10x
birds 	 Phaethon_aethereus 	 genomic_data 	 bPhaAeh3 	 hic-arima2
birds 	 Phaethon_aethereus 	 genomic_data 	 bPhaAeh3 	 pacbio
birds 	 Streptopelia_turtur 	 genomic_data 	 bStrTur1 	 10x
birds 	 Streptopelia_turtur 	 genomic_data 	 bStrTur1 	 bionano
birds 	 Streptopelia_turtur 	 genomic_data 	 bStrTur1 	 hic-arima
birds 	 Streptopelia_turtur 	 genomic_data 	 bStrTur1 	 illumina
birds 	 Streptopelia_turtur 	 genomic_data 	 bStrTur1 	 pacbio
chordates 	 Aplidium_turbinatum 	 genomic_data 	 kaAplTurb1 	 10x
chordates 	 Aplidium_turbinatum 	 genomic_data 	 kaAplTurb1 	 hic-arima2
chordates 	 Aplidium_turbinatum 	 genomic_data 	 kaAplTurb1 	 pacbio
chordates 	 Ascidia_mentula 	 genomic_data 	 kaAscMent1 	 pacbio
chordates 	 Ascidiella_aspersa 	 genomic_data 	 kaAscAspe2 	 hic-arima2
chordates 	 Clavelina_lepadiformis 	 genomic_data 	 kaClaLepa3 	 hic-arima2
chordates 	 Clavelina_lepadiformis 	 genomic_data 	 kaClaLepa8 	 10x
chordates 	 Clavelina_lepadiformis 	 genomic_data 	 kaClaLepa8 	 pacbio
chordates 	 Corella_eumyota 	 genomic_data 	 kaCorEumy4 	 hic-arima2
